,keywords,number_of_times_word_appeared,tf,idf,tf_idf
2793,ingénieur,98,0.0004526370728237625,0.7133498878774648,0.00032288860514801483
3021,muni,51,0.00023555602769399886,1.3664917338237108,0.00032188536469619853
1062,tue,51,0.00023555602769399886,1.3664917338237108,0.00032188536469619853
181,oo,51,0.00023555602769399886,1.3664917338237108,0.00032188536469619853
1851,réseau,50,0.00023093728205294007,1.3862943611198906,0.0003201470518823445
324,aires,100,0.00046187456410588015,0.6931471805599453,0.0003201470518823445
1727,télécom,100,0.00046187456410588015,0.6931471805599453,0.0003201470518823445
538,eaux,50,0.00023093728205294007,1.3862943611198906,0.0003201470518823445
1992,groupe,101,0.00046649330974693893,0.6831968497067772,0.0003187067596283965
2328,gen,49,0.00022631853641188126,1.40649706843741,0.0003183163579963562
707,data,49,0.00022631853641188126,1.40649706843741,0.0003183163579963562
2702,logique,49,0.00022631853641188126,1.40649706843741,0.0003183163579963562
3740,vol,49,0.00022631853641188126,1.40649706843741,0.0003183163579963562
1642,nement,102,0.0004711120553879977,0.6733445532637655,0.0003172207364724057
3439,niveau,102,0.0004711120553879977,0.6733445532637655,0.0003172207364724057
1693,ille,102,0.0004711120553879977,0.6733445532637655,0.0003172207364724057
2463,istic,48,0.00022169979077082247,1.4271163556401458,0.000316391397451039
3050,industrie,48,0.00022169979077082247,1.4271163556401458,0.000316391397451039
4447,apply,48,0.00022169979077082247,1.4271163556401458,0.000316391397451039
4456,socié,48,0.00022169979077082247,1.4271163556401458,0.000316391397451039
2775,techniques,48,0.00022169979077082247,1.4271163556401458,0.000316391397451039
1728,france,48,0.00022169979077082247,1.4271163556401458,0.000316391397451039
1540,travail,103,0.0004757308010290565,0.6635883783184009,0.00031568943077098547
2552,labo,103,0.0004757308010290565,0.6635883783184009,0.00031568943077098547
922,solution,103,0.0004757308010290565,0.6635883783184009,0.00031568943077098547
2432,lieu,47,0.00021708104512976366,1.448169764837978,0.00031437020607635234
4265,pays,47,0.00021708104512976366,1.448169764837978,0.00031437020607635234
234,proposition,47,0.00021708104512976366,1.448169764837978,0.00031437020607635234
1006,dir,47,0.00021708104512976366,1.448169764837978,0.00031437020607635234
3031,anglais,47,0.00021708104512976366,1.448169764837978,0.00031437020607635234
1401,tudes,104,0.00048034954667011535,0.653926467406664,0.00031411328217438106
560,application,104,0.00048034954667011535,0.653926467406664,0.00031411328217438106
3367,participer,46,0.00021246229948870485,1.4696759700589417,0.0003122507361020157
3932,sécuri,46,0.00021246229948870485,1.4696759700589417,0.0003122507361020157
166,multiposting,46,0.00021246229948870485,1.4696759700589417,0.0003122507361020157
3989,activité,106,0.0004895870379522329,0.6348782724359695,0.00031082817286215707
4344,eb,106,0.0004895870379522329,0.6348782724359695,0.00031082817286215707
4156,logiciel,106,0.0004895870379522329,0.6348782724359695,0.00031082817286215707
2781,milliards,45,0.00020784355384764606,1.491654876777717,0.00031003085070365323
95,grand,45,0.00020784355384764606,1.491654876777717,0.00031003085070365323
3263,développer,45,0.00020784355384764606,1.491654876777717,0.00031003085070365323
4197,européen,45,0.00020784355384764606,1.491654876777717,0.00031003085070365323
210,dire,45,0.00020784355384764606,1.491654876777717,0.00031003085070365323
3669,oss,45,0.00020784355384764606,1.491654876777717,0.00031003085070365323
4135,etudes,45,0.00020784355384764606,1.491654876777717,0.00031003085070365323
3076,informations,107,0.0004942057835932918,0.6254885320861305,0.00030912005012824397
3615,technique,107,0.0004942057835932918,0.6254885320861305,0.00030912005012824397
4137,connaissances,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
804,forme,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
1570,nication,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
1031,cole,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
923,sent,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
480,sig,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
735,travaille,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
2272,direct,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
1801,partir,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
1929,dev,44,0.00020322480820658724,1.5141277326297755,0.0003077083180639609
